forms_number,forms_text
21514,"  ULLAB | ROPA 2024 | EVENTOS - LIVING LAB;É REALIZADO A INSCRIÇÃO DOS PARTICIPANTES EM EVENTOS, PARA POSTERIOR UTILIZAÇÃO DOS DADOS DURANTE A REALIZAÇÃO DOS EVENTOS."
8026," 5ª EDIÇÃO DO PRÊMIO SEBRAE TOP 100 DE ARTESANATO;OS DADOS FORAM COLETADOS JUNTO AOS TITULARES COM A OBSERVÂNCIA DOS SEBRAES DE CADA UF, RESPONSÁVEL POR SEUS ARTESÃOS."
8025," ATENDIMENTO REMOTO ATIVO;1.NÃO HÁ COLETA, POIS OS DADOS SÃO ACESSADOS DIRETAMENTE DO SISTEMA."
8041, CONTRATAÇÃO DE INSTRUTORES - FEIRA DO EMPREENDEDOR ;COLETA: OS DADO PESSOAIS SÃO COLETADOS DIRETAMENTE COM O TITULAR OU COM EMPRESAS QUE AGENCIAM OS PALESTRANTES.
9117," DESLIGAMENTO ;PREPARAR E ARMAZENAR DOCUMENTOS LEGAIS RELACIONADOS AO DESLIGAMENTO, TERMO DE RESCISÃO, REVOGAÇÃO DO ACESSO AO SISTEMA, MODIFICAÇÃO DAS CREDÊNCIAS APURAÇÃO DA FREQUÊNCIA PARA FINS DE PAGAMENTO DA RESCISÃO."
14464, ES-GESTÃO DE CONTRATO - RADAR;REALIZAÇÃO DE GESTÃO DO CONTRATO E ACOMPANHAMENTO DA PERFORMANCE DA PLATAFORMA
9197," GESTÃO DE PROJETOS – CAPTAÇÃO DE CLIENTES E EDITAIS - EMPREENDEDORISMO SOCIAL ;1. COLETA: É COLETADO NOME COMPLETO\, CPF\, DATA NASCIMENTO\, TELEFONE\, E-MAIL E GÊNERO. OS DADOS SÃO COLETADOS VIA INSCRIÇÃO PRESENCIAL\, FICHA IMPRESSA\, ONLINE VIA FORMS."
20522," IDP - ACESSO AO ONETRUST;A ATIVIDADE DE TRATAMENTO ESTÁ RELACIONADA AO TRATAMENTO DE DADOS PARA UTILIZAÇÃO EM FERRAMENTA DE INTELIGÊNCIA ARTIFICIAL, COM FINS VOLTADOS PARA ANÁLISE E MONITORAMENTO DE POLÍTICAS/REGRAS, PROPOSTAS DE MELHORIAS/EVOLUÇÕES RELACIONADOS AS QUESTÕES DE LGPD."
8034," PRESTAÇÃO DE INFORMAÇÕES AOS COMPRADORES E INTERESSADOS.;OS DADOS SÃO COLETADOS DIRETAMENTE COM OS TITULARES, TAMBÉM SÃO COMPARTILHADOS DE OUTRAS UF'S DO SEBRAE."
8031," RELACIONAMENTO COM STAKEHOLDERS;OS DADOS PESSOAIS SÃO COLETADOS DIRETAMENTE COM O TITULAR ATRAVÉS DE NETWORKING DA EQUIPE CRAB. APÓS A COLETA, OS DADOS SÃO ARMAZENADOS EM UMA PLANILHA DE EXCEL E UTILIZADOS PARA DISPARO DE CONVITES PARA EVENTOS ESTRATÉGICOS E LANÇAMENTO DE EXPOSIÇÕES, POR EXEMPLO. A PLANILHA ESTÁ NA PASTA DO TEAMS, SENDO OS MEMBROS DA EQUIPE CRAB OS ÚNICOS QUE POSSUEM ACESSO, NÃO HAVENDO COMPARTILHAMENTO COM NENHUMA PESSOA EXTERNA AO SEBRAE. NÃO HÁ POLÍTICA DE DESCARTE."
8714,"​  GESTÃO DE MISSÕES INTERNACIONAIS ;1. COLETA: QUANDO LANÇADO UM EDITAL A ÁREA DE NEGÓCIOS INTERNACIONAIS RECEBE DIVERSAS BASES DE CONTATOS. HÁ BASES QUE NÃO POSSUI CERTEZA SOBRE O CONSENTIMENTO OU AUTORIZAÇÃO PARA COMUNICAÇÃO SOBRE O EDITAL, OPORTUNIDADE EM QUE É FEITA A TRIAGEM PARA ACIONAR SOMENTE E-MAILS COORPORATIVOS. AS BASES SÃO BUSCADAS NAS REDES SOCIAIS, BASE DE DADOS DISPONÍVEIS NA INTERNET, VISITA À POTENCIAL EMPRESA, RELAÇÕES PESSOAIS DA ÁREA E CONSULTORES, LANDING PAGE DO EDITAL. AS BASES DE DADO CONTÉM NOME, CPF, TELEFONE DE CONTATO, E-MAIL, ENDEREÇO, RAZÃO SOCIAL DO MEI."
14485,"(ARAR) CADASTRO DE SOLUÇÕES;ATRAVÉS DO CLIENTE AO SER ATENDIDO, OU ATRAVÉS DO CADASTRO DO SAS."
14486,(ARAR) CADASTRO DOS CLIENTES;CHEGA AO REALIZAR ATENDIMENTO DIRETO AO CLIENTE OU ACESSANDO A BASE DE DADOS DOS NOSSOS CLIENTE(SAS OU FOCO). TAMBÉM PODE SER AO SE CADASTRAR VIA INTERNET.
14487,"(ARAR) CAPACITAÇÃO EMPRESARIAL;OS DADOS PESSOAIS CHEGAM ATRAVÉS DE CLIENTES, CADASTROS SAS, E SÃO IMPORTANTES PARA REALIZAÇÃO DE SOLICITAÇÕES DE EVENTOS FECHADOS, DIRECIONADOS A DETERMINADOS CLIENTES, OS DADOS SEGUEM PARA O SETOR QUE FAZ A CONTRATAÇÃO (CLOG/ ECONOMICIDADE) E TAMBÉM É UTILIZADO PARA EMISSÃO DE NOTAS FISCAIS DE RECEBIMENTO DAS CONTRAPARTIDAS, SENDO ESTES PROCESSOS ARQUIVADOS POSTERIORMENTE."
14488,"(ARAR) DIAGNOSTICO COM O CLIENTE;OS DADOS CHEGAM ATRAVÉS DE RELATÓRIOS DE PROGRAMAS COMO SEBRAE NA SUA EMPRESA, DE CONSULTORIAS REALIZADAS PELA INSTITUIÇÃO."
14489,"(ARAR) EMISSÃO DE CERTIFICADOS;OS DADOS CHEGAM ATRAVÉS DO SISTEMA SAS, ONDE FICAM OS CADASTROS DOS CLIENTES, SENDO TAMBÉM FEITOS OS LANÇAMENTOS DOS EVENTOS, ONDE ESTÃO REGISTRADAS AS FREQUÊNCIAS DOS PARTICIPANTES, DADOS IMPORTANTES PARA QUE OS CERTIFICADOS SEJAM EMITIDOS CONFORME PARTICIPAÇÃO MÍNIMA NECESSÁRIA. NO FINAL DA ATIVIDADE OS DADOS FICAM SALVOS NO PORTAL DOS CERTIFICADOS (HTTPS://CERTIFICADOS.SEBRAEPB.COM.BR/)."
