forms_number,level1_category,level1_confidence,level1_threshold_met,level1_classification_type,level1_best_match,level1_best_match_score,level1_all_scores
21514,"Dados, TI e BI",0.4806615710258484,true,automatic,"",0.0,"{""Administra\u00e7\u00e3o e RH"": 0.41780734062194824, ""Atendimento"": 0.4350716769695282, ""Auditoria, Compliance e Jur\u00eddico"": 0.42015141248703003, ""Dados, TI e BI"": 0.4806615710258484, ""Financeiro e Cont\u00e1bil"": 0.3429136872291565, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.3646702766418457, ""Outras Atividades"": 0.44827038049697876}"
8026,Nova_Classe_8,0.4702017307281494,false,new_class,"Dados, TI e BI",0.4702017307281494,"{""Administra\u00e7\u00e3o e RH"": 0.3730374574661255, ""Atendimento"": 0.43344804644584656, ""Auditoria, Compliance e Jur\u00eddico"": 0.3815750479698181, ""Dados, TI e BI"": 0.4702017307281494, ""Financeiro e Cont\u00e1bil"": 0.32646918296813965, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.3385164141654968, ""Outras Atividades"": 0.3630761206150055}"
8025,Atendimento,0.535793125629425,true,automatic,"",0.0,"{""Administra\u00e7\u00e3o e RH"": 0.39634525775909424, ""Atendimento"": 0.535793125629425, ""Auditoria, Compliance e Jur\u00eddico"": 0.3689274191856384, ""Dados, TI e BI"": 0.4607805609703064, ""Financeiro e Cont\u00e1bil"": 0.3379007875919342, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.33744585514068604, ""Outras Atividades"": 0.36171117424964905}"
8041,Nova_Classe_8,0.45306944847106934,false,new_class,"Dados, TI e BI",0.45306944847106934,"{""Administra\u00e7\u00e3o e RH"": 0.36943382024765015, ""Atendimento"": 0.4151743948459625, ""Auditoria, Compliance e Jur\u00eddico"": 0.3798341155052185, ""Dados, TI e BI"": 0.45306944847106934, ""Financeiro e Cont\u00e1bil"": 0.35898157954216003, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.3716028332710266, ""Outras Atividades"": 0.3774760961532593}"
9117,Nova_Classe_8,0.46393153071403503,false,new_class,Atendimento,0.46393153071403503,"{""Administra\u00e7\u00e3o e RH"": 0.4196813106536865, ""Atendimento"": 0.46393153071403503, ""Auditoria, Compliance e Jur\u00eddico"": 0.4573490023612976, ""Dados, TI e BI"": 0.3804124593734741, ""Financeiro e Cont\u00e1bil"": 0.3754195272922516, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.38575035333633423, ""Outras Atividades"": 0.35602903366088867}"
14464,Nova_Classe_8,0.4495018720626831,false,new_class,"Auditoria, Compliance e Jurídico",0.4495018720626831,"{""Administra\u00e7\u00e3o e RH"": 0.4452577829360962, ""Atendimento"": 0.4089672565460205, ""Auditoria, Compliance e Jur\u00eddico"": 0.4495018720626831, ""Dados, TI e BI"": 0.4047383964061737, ""Financeiro e Cont\u00e1bil"": 0.3522934913635254, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.3911200761795044, ""Outras Atividades"": 0.3685585558414459}"
9197,Nova_Classe_8,0.44447797536849976,false,new_class,Atendimento,0.44447797536849976,"{""Administra\u00e7\u00e3o e RH"": 0.37878215312957764, ""Atendimento"": 0.44447797536849976, ""Auditoria, Compliance e Jur\u00eddico"": 0.40977954864501953, ""Dados, TI e BI"": 0.3667837977409363, ""Financeiro e Cont\u00e1bil"": 0.3800967335700989, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.3578622341156006, ""Outras Atividades"": 0.3501967787742615}"
20522,Nova_Classe_8,0.4562511444091797,false,new_class,"Dados, TI e BI",0.4562511444091797,"{""Administra\u00e7\u00e3o e RH"": 0.38703155517578125, ""Atendimento"": 0.45098528265953064, ""Auditoria, Compliance e Jur\u00eddico"": 0.3962639570236206, ""Dados, TI e BI"": 0.4562511444091797, ""Financeiro e Cont\u00e1bil"": 0.264595627784729, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.39773666858673096, ""Outras Atividades"": 0.4070928990840912}"
8034,"Dados, TI e BI",0.495631605386734,true,automatic,"",0.0,"{""Administra\u00e7\u00e3o e RH"": 0.3872985541820526, ""Atendimento"": 0.43290725350379944, ""Auditoria, Compliance e Jur\u00eddico"": 0.35979950428009033, ""Dados, TI e BI"": 0.495631605386734, ""Financeiro e Cont\u00e1bil"": 0.3482140600681305, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.3635634779930115, ""Outras Atividades"": 0.36492881178855896}"
8031,Nova_Classe_8,0.460544228553772,false,new_class,"Dados, TI e BI",0.460544228553772,"{""Administra\u00e7\u00e3o e RH"": 0.44581806659698486, ""Atendimento"": 0.42315417528152466, ""Auditoria, Compliance e Jur\u00eddico"": 0.35944053530693054, ""Dados, TI e BI"": 0.460544228553772, ""Financeiro e Cont\u00e1bil"": 0.3412989675998688, ""Gest\u00e3o, Estrat\u00e9gia e Processos"": 0.4107607305049896, ""Outras Atividades"": 0.35698753595352173}"
